,Marital_Status,Gender,Income,Children,Education,Occupation,Home_Owner,Cars,Commute_Distance,Region,Age,Purchased_Bike
50,0,0,30000.0,0,5,3,0,0.0,0,2,36.0,1
51,0,0,30000.0,0,3,3,0,1.0,0,2,29.0,1
52,0,1,30000.0,0,3,3,0,1.0,2,2,30.0,0
53,0,1,30000.0,0,3,3,0,1.0,0,2,28.0,0
54,0,0,30000.0,0,2,1,1,1.0,2,2,33.0,1
55,1,0,30000.0,0,5,3,1,0.0,0,2,47.0,1
56,0,0,30000.0,0,3,3,0,1.0,2,2,29.0,0
57,0,1,30000.0,0,3,3,0,1.0,0,2,29.0,1
58,0,0,30000.0,0,3,3,0,1.0,0,2,30.0,1
59,0,1,30000.0,0,3,3,0,1.0,2,2,33.0,0
60,0,1,30000.0,0,3,3,0,1.0,2,2,30.0,0
61,0,1,30000.0,0,3,3,0,1.0,2,2,29.0,0
62,0,0,30000.0,0,3,3,1,1.0,2,2,32.0,0
63,0,0,30000.0,0,3,3,0,1.0,1,2,27.0,0
64,0,1,30000.0,0,3,3,0,1.0,2,2,30.0,0
65,0,1,30000.0,0,2,1,0,1.0,2,2,34.0,1
66,1,1,30000.0,0,5,3,0,0.0,0,2,36.0,1
67,1,0,30000.0,0,5,3,1,0.0,0,2,35.0,1
68,0,0,30000.0,0,3,3,1,1.0,2,2,30.0,0
69,0,1,30000.0,0,2,1,0,1.0,2,2,32.0,1
70,0,1,30000.0,0,2,1,0,1.0,2,2,32.0,0
71,0,0,30000.0,0,3,3,0,1.0,2,2,31.0,1
72,0,1,30000.0,0,3,3,0,1.0,0,2,29.0,1
74,0,0,30000.0,0,2,1,1,1.0,2,2,34.0,1
75,0,0,30000.0,0,3,3,0,1.0,2,2,28.0,0
76,0,1,30000.0,0,3,3,1,1.0,2,2,31.0,0
77,0,0,30000.0,0,2,1,0,1.0,1,2,32.0,0
78,0,0,30000.0,0,2,1,0,1.0,2,2,34.0,0
79,0,0,30000.0,0,2,1,0,1.0,1,2,28.0,0
80,1,1,30000.0,0,5,3,1,0.0,0,2,47.0,1
81,1,0,30000.0,0,5,3,1,0.0,0,2,35.0,1
82,0,1,30000.0,0,3,3,0,1.0,2,2,31.0,1
83,0,1,30000.0,0,3,2,1,1.0,3,1,28.0,0
84,0,0,30000.0,0,1,3,1,2.0,3,1,28.0,0
85,0,1,30000.0,0,3,2,1,1.0,3,1,28.0,0
86,0,0,30000.0,0,3,2,1,1.0,3,1,27.0,0
87,0,0,30000.0,0,2,2,1,2.0,3,1,30.0,0
88,0,1,30000.0,0,1,3,1,2.0,3,1,27.0,0
89,0,0,30000.0,0,2,2,0,2.0,1,1,31.0,1
90,0,0,30000.0,0,3,2,1,2.0,3,1,30.0,0
91,1,0,30000.0,0,2,2,1,2.0,3,1,26.0,0
92,1,1,30000.0,0,1,3,0,2.0,0,1,28.0,0
93,0,0,30000.0,0,2,2,1,2.0,3,1,26.0,0
94,0,1,30000.0,0,3,2,1,1.0,3,1,26.0,0
95,0,0,30000.0,0,2,2,1,2.0,3,1,30.0,0
96,0,1,30000.0,0,2,2,0,2.0,0,1,25.0,1
97,1,0,30000.0,0,2,2,1,2.0,3,1,32.0,0
98,0,1,30000.0,0,3,2,0,1.0,1,1,31.0,0
99,0,0,30000.0,0,3,2,1,1.0,3,1,32.0,0
100,0,0,30000.0,0,1,3,0,2.0,0,1,26.0,0
101,1,0,30000.0,0,4,2,1,0.0,0,1,32.0,0
102,1,0,30000.0,0,1,3,0,2.0,0,1,28.0,0
103,0,0,30000.0,0,1,3,0,2.0,3,1,27.0,0
104,0,1,30000.0,0,2,2,0,2.0,3,1,26.0,0
105,1,1,40000.0,0,4,3,1,0.0,0,2,36.0,1
106,1,0,40000.0,0,5,3,1,0.0,0,2,39.0,1
107,1,0,40000.0,0,5,3,1,0.0,0,2,38.0,1
108,1,1,40000.0,0,4,3,1,0.0,0,2,37.0,1
109,0,0,40000.0,0,4,3,1,0.0,0,2,37.0,1
110,1,1,40000.0,0,5,3,1,0.0,0,2,38.0,1
111,0,0,40000.0,0,5,4,0,0.0,0,2,39.0,1
112,0,1,40000.0,0,5,3,0,0.0,0,2,38.0,1
113,1,0,40000.0,0,5,4,1,0.0,0,2,40.0,1
114,0,0,40000.0,0,5,4,0,0.0,0,2,40.0,1
115,1,0,40000.0,0,4,3,1,0.0,0,2,37.0,1
116,1,1,40000.0,0,5,4,0,0.0,0,2,40.0,1
117,0,1,40000.0,0,4,3,1,0.0,0,2,37.0,1
118,1,1,40000.0,0,5,3,1,0.0,0,2,38.0,1
119,1,0,40000.0,0,4,3,1,0.0,0,2,37.0,1
120,1,0,40000.0,0,5,3,0,0.0,0,2,38.0,1
121,0,1,40000.0,0,4,3,0,0.0,0,2,37.0,1
122,0,0,40000.0,0,4,3,0,0.0,0,2,38.0,1
123,0,1,40000.0,0,5,3,0,0.0,0,2,38.0,1
124,1,0,40000.0,0,4,3,1,0.0,0,2,37.0,1
125,1,1,40000.0,0,5,3,1,0.0,0,2,38.0,1
126,1,1,40000.0,0,4,3,1,0.0,0,2,35.0,1
127,1,1,40000.0,0,5,3,1,0.0,0,2,39.0,1
128,0,1,40000.0,0,4,3,1,0.0,0,2,38.0,1
129,0,0,40000.0,0,4,3,0,0.0,0,2,36.0,1
130,1,0,40000.0,0,5,3,1,0.0,0,2,39.0,0
131,0,1,40000.0,0,2,2,0,2.0,1,1,31.0,1
132,1,0,40000.0,0,3,2,1,1.0,3,1,29.0,0
133,0,0,40000.0,0,5,4,0,1.0,2,1,45.0,0
134,1,0,40000.0,0,2,2,1,2.0,3,1,29.0,0
135,0,1,40000.0,0,2,2,1,1.0,3,1,31.0,0
136,1,0,40000.0,0,3,2,1,1.0,3,1,28.0,0
137,1,0,40000.0,0,2,2,1,2.0,3,1,27.0,0
138,0,1,40000.0,0,2,2,1,1.0,3,1,30.0,0
139,1,0,40000.0,0,2,2,0,2.0,1,1,30.0,0
140,0,0,40000.0,0,2,2,0,2.0,1,1,30.0,0
141,0,0,40000.0,0,2,2,1,2.0,3,1,31.0,0
142,0,0,40000.0,0,2,2,0,2.0,1,1,31.0,1
143,0,0,40000.0,0,2,2,0,2.0,0,1,28.0,1
144,0,1,40000.0,0,2,2,1,2.0,3,1,30.0,0
145,0,1,40000.0,0,5,4,1,1.0,2,1,42.0,1
146,1,0,40000.0,0,2,2,1,2.0,3,1,28.0,1
147,1,0,40000.0,0,2,2,1,2.0,3,1,27.0,0
148,1,0,40000.0,0,2,2,1,1.0,3,1,31.0,0
149,0,1,40000.0,0,3,2,0,1.0,1,1,27.0,0
150,0,0,40000.0,0,2,2,1,2.0,3,1,27.0,0
151,0,1,40000.0,0,2,2,0,2.0,0,1,28.0,1
152,1,0,40000.0,0,2,2,1,2.0,3,1,28.0,1
153,1,0,40000.0,0,3,2,1,1.0,3,1,27.0,0
154,1,0,40000.0,0,2,2,1,2.0,3,1,28.0,1
155,1,0,40000.0,0,2,2,0,2.0,0,1,27.0,1
156,0,1,40000.0,0,2,2,1,2.0,3,1,31.0,0
157,1,0,40000.0,0,3,2,0,2.0,1,1,30.0,0
158,1,0,40000.0,0,3,2,1,1.0,3,1,30.0,0
159,0,1,40000.0,0,2,2,1,2.0,3,1,30.0,0
160,0,1,40000.0,0,1,3,1,2.0,3,1,26.0,0
161,1,1,40000.0,0,3,2,1,2.0,3,1,28.0,0
162,0,1,40000.0,0,1,3,1,2.0,3,1,29.0,0
163,0,0,40000.0,0,3,2,1,1.0,3,1,27.0,0
164,1,0,40000.0,0,5,4,0,1.0,0,1,42.0,0
165,0,0,40000.0,0,2,2,1,2.0,3,1,31.0,0
166,0,1,40000.0,0,2,2,0,2.0,0,1,27.0,1
167,1,1,40000.0,0,2,2,1,2.0,3,1,27.0,0
168,0,0,40000.0,0,2,2,1,1.0,3,1,31.0,0
169,0,0,50000.0,0,4,2,1,0.0,0,2,37.0,1
170,0,1,50000.0,0,4,2,1,0.0,1,2,36.0,0
171,1,1,50000.0,0,4,2,1,0.0,0,2,36.0,1
172,0,1,50000.0,0,4,2,1,0.0,0,2,36.0,1
173,0,1,50000.0,0,4,2,0,0.0,0,2,37.0,1
174,1,1,50000.0,0,4,2,1,0.0,0,1,34.0,0
175,0,0,50000.0,0,3,2,0,1.0,2,1,39.0,1
176,0,1,50000.0,0,4,2,1,0.0,1,1,33.0,0
177,1,0,50000.0,0,4,2,1,0.0,1,1,32.0,1
178,1,0,50000.0,0,4,2,1,0.0,0,1,32.0,0
179,0,1,50000.0,0,4,2,1,0.0,1,1,33.0,1
180,1,1,50000.0,0,4,2,1,0.0,1,1,33.0,1
181,0,0,60000.0,0,5,4,0,3.0,2,3,31.0,0
182,0,0,60000.0,0,5,4,0,4.0,2,3,31.0,0
183,1,0,60000.0,0,3,2,0,2.0,1,1,29.0,0
184,1,0,60000.0,0,3,2,1,1.0,3,1,27.0,1
185,0,0,60000.0,0,3,2,0,2.0,1,1,29.0,0
186,1,1,60000.0,0,4,4,1,0.0,0,1,40.0,0
187,1,1,60000.0,0,3,2,1,2.0,3,1,29.0,0
188,0,1,60000.0,0,4,2,1,0.0,0,1,39.0,0
189,0,0,60000.0,0,3,4,0,2.0,1,1,32.0,1
190,1,1,60000.0,0,4,4,1,0.0,0,1,40.0,0
191,1,1,60000.0,0,3,2,0,1.0,1,1,33.0,0
192,0,0,60000.0,0,3,4,0,2.0,1,1,30.0,0
193,0,1,60000.0,0,3,2,0,1.0,1,1,33.0,1
194,1,0,60000.0,0,2,4,1,2.0,3,1,32.0,1
195,0,1,60000.0,0,4,4,1,1.0,2,1,38.0,1
196,1,0,60000.0,0,3,4,1,2.0,3,1,32.0,0
197,1,1,60000.0,0,3,2,0,1.0,1,1,27.0,0
198,0,0,60000.0,0,3,2,1,1.0,3,1,27.0,1
199,0,1,60000.0,0,3,4,0,2.0,1,1,32.0,1
200,1,0,60000.0,0,3,2,0,2.0,1,1,31.0,0
201,1,0,60000.0,0,3,2,1,2.0,3,1,33.0,1
202,1,1,60000.0,0,4,4,1,0.0,0,1,39.0,0
203,1,0,60000.0,0,3,2,1,1.0,3,1,32.0,1
204,1,1,60000.0,0,3,4,1,2.0,3,1,32.0,0
205,1,0,60000.0,0,4,2,1,0.0,1,1,39.0,1
206,0,0,60000.0,0,3,2,1,2.0,3,1,29.0,0
207,0,1,60000.0,0,4,2,0,0.0,0,1,40.0,0
208,1,1,60000.0,0,3,4,1,2.0,3,1,30.0,0
209,1,0,60000.0,0,4,4,0,0.0,0,1,39.0,0
210,1,1,60000.0,0,3,2,1,2.0,3,1,31.0,0
211,0,0,70000.0,0,5,4,1,1.0,3,3,41.0,1
212,0,1,70000.0,0,5,4,0,1.0,3,3,42.0,0
213,0,1,70000.0,0,5,4,0,1.0,3,3,38.0,0
214,0,0,70000.0,0,5,4,0,1.0,3,3,41.0,1
215,1,1,70000.0,0,5,4,1,4.0,4,3,32.0,1
216,0,0,70000.0,0,5,4,0,4.0,4,3,31.0,1
217,0,0,70000.0,0,5,4,1,1.0,3,3,37.0,1
218,0,0,70000.0,0,5,4,0,1.0,3,3,41.0,0
219,0,0,70000.0,0,5,4,0,3.0,4,3,30.0,1
220,0,0,70000.0,0,5,4,0,1.0,3,3,38.0,0
221,0,1,70000.0,0,5,4,0,1.0,0,3,41.0,1
222,0,0,70000.0,0,5,4,0,2.0,3,3,43.0,1
223,0,1,70000.0,0,5,4,1,1.0,3,3,42.0,1
224,0,0,70000.0,0,5,4,0,1.0,2,1,37.0,1
225,0,1,70000.0,0,5,4,0,1.0,2,1,37.0,1
226,0,1,70000.0,0,5,4,0,1.0,0,3,42.0,1
227,1,0,70000.0,0,5,4,0,1.0,0,1,43.0,0
228,0,1,70000.0,0,3,2,0,2.0,0,1,27.0,1
229,0,1,70000.0,0,5,4,0,1.0,2,1,38.0,1
230,0,1,70000.0,0,3,2,1,2.0,3,1,34.0,1
231,0,1,70000.0,0,5,4,0,1.0,0,1,37.0,1
232,1,1,70000.0,0,3,2,1,2.0,3,1,34.0,1
233,1,1,70000.0,0,4,4,1,0.0,2,1,39.0,0
234,1,0,70000.0,0,5,4,0,1.0,0,1,38.0,0
235,0,1,80000.0,0,5,4,1,4.0,4,3,35.0,0
236,0,0,80000.0,0,5,4,0,4.0,4,3,35.0,0
237,1,0,80000.0,0,5,4,1,2.0,4,3,29.0,1
238,0,1,80000.0,0,5,4,0,3.0,4,3,31.0,0
239,1,1,80000.0,0,5,4,1,3.0,4,3,32.0,0
240,0,0,80000.0,0,5,4,0,3.0,4,3,33.0,1
241,0,1,80000.0,0,5,4,1,3.0,4,3,32.0,0
242,0,0,80000.0,0,5,4,1,3.0,4,3,32.0,0
243,1,0,80000.0,0,5,4,1,3.0,4,3,30.0,0
244,1,1,80000.0,0,5,4,1,1.0,1,3,41.0,1
245,0,1,80000.0,0,4,2,0,0.0,0,2,40.0,1
247,1,1,80000.0,0,5,5,1,1.0,1,1,34.0,1
248,0,1,80000.0,0,5,5,1,1.0,1,1,34.0,1
249,1,1,80000.0,0,5,5,1,1.0,1,1,34.0,1
250,1,1,80000.0,0,4,2,1,0.0,1,1,40.0,1
251,0,1,80000.0,0,4,2,0,0.0,0,1,40.0,0
252,0,0,80000.0,0,5,5,0,1.0,0,1,38.0,1
253,0,1,80000.0,0,5,5,0,1.0,0,1,38.0,1
254,0,1,90000.0,0,5,4,0,4.0,4,3,36.0,0
255,0,0,90000.0,0,5,4,0,4.0,4,3,35.0,1
256,0,0,90000.0,0,5,4,0,3.0,4,3,34.0,1
257,0,0,90000.0,0,3,4,0,2.0,0,1,43.0,1
258,0,1,100000.0,0,5,4,0,1.0,3,3,40.0,0
259,0,0,100000.0,0,2,5,1,3.0,4,3,35.0,0
260,0,1,100000.0,0,4,5,0,1.0,1,3,39.0,1
261,1,1,100000.0,0,2,5,1,4.0,4,3,34.0,1
262,1,0,100000.0,0,2,5,1,3.0,4,3,35.0,1
263,1,0,100000.0,0,4,5,1,0.0,2,3,40.0,1
264,0,1,110000.0,0,3,5,1,3.0,4,3,32.0,1
265,0,0,110000.0,0,3,5,0,3.0,4,3,32.0,1
266,1,1,110000.0,0,2,5,1,3.0,4,3,34.0,1
267,1,0,120000.0,0,1,4,1,4.0,4,3,36.0,1
268,0,1,120000.0,0,1,4,1,4.0,4,3,34.0,1
269,1,0,120000.0,0,1,4,1,4.0,4,3,32.0,1
270,1,0,130000.0,0,4,5,1,0.0,3,3,48.0,0
272,1,1,130000.0,0,4,5,1,1.0,4,3,48.0,0
273,1,1,130000.0,0,4,5,1,3.0,1,1,40.0,0
274,0,0,130000.0,0,4,5,0,2.0,0,1,38.0,1
275,1,0,150000.0,0,5,5,1,4.0,0,3,37.0,1
276,0,1,160000.0,0,4,5,0,3.0,0,3,47.0,1
277,1,1,10000.0,1,4,1,1,0.0,0,2,40.0,0
278,0,1,10000.0,1,2,1,0,1.0,1,2,45.0,0
279,0,1,10000.0,1,2,1,0,1.0,3,2,35.0,1
280,1,1,10000.0,1,5,1,1,0.0,0,2,48.0,0
281,0,0,10000.0,1,4,1,1,0.0,0,2,44.0,0
282,1,0,10000.0,1,2,1,1,0.0,2,3,27.0,1
283,0,0,10000.0,1,5,1,1,0.0,0,2,48.0,0
284,1,1,10000.0,1,4,3,1,0.0,0,2,70.0,1
285,1,0,10000.0,1,4,1,1,0.0,0,2,37.0,0
286,0,0,10000.0,1,3,1,1,0.0,0,2,49.0,0
287,0,1,10000.0,1,2,1,0,1.0,2,2,46.0,1
288,1,0,10000.0,1,4,1,1,0.0,0,2,44.0,0
289,1,0,10000.0,1,4,3,1,0.0,0,2,70.0,0
290,1,1,20000.0,1,5,3,1,0.0,0,2,66.0,1
291,1,1,20000.0,1,5,3,1,0.0,0,2,65.0,0
292,1,0,20000.0,1,2,1,0,1.0,1,2,40.0,1
293,0,1,20000.0,1,3,1,0,0.0,0,2,46.0,1
294,1,0,20000.0,1,3,1,1,0.0,1,2,63.0,0
295,1,1,20000.0,1,4,3,1,0.0,0,2,45.0,0
296,1,0,20000.0,1,4,3,1,0.0,0,2,43.0,0
297,0,0,20000.0,1,3,1,0,0.0,0,2,37.0,0
298,1,0,20000.0,1,5,3,1,0.0,0,2,66.0,0
299,1,1,20000.0,1,5,3,1,0.0,0,2,50.0,1
300,1,0,20000.0,1,5,3,1,0.0,0,2,64.0,1
301,0,0,20000.0,1,5,3,0,0.0,0,2,51.0,0
302,1,0,20000.0,1,4,3,1,0.0,0,2,44.0,0
303,1,1,20000.0,1,3,1,1,0.0,0,2,65.0,0
304,1,1,30000.0,1,5,3,1,0.0,0,2,47.0,0
305,0,0,30000.0,1,5,3,1,0.0,0,2,63.0,0
306,1,1,30000.0,1,5,3,1,0.0,0,2,37.0,1
307,1,0,30000.0,1,3,3,1,1.0,0,2,43.0,0
308,1,1,30000.0,1,5,2,1,2.0,0,2,42.0,0
309,1,0,30000.0,1,5,3,1,1.0,2,2,39.0,0
310,0,0,30000.0,1,5,3,1,0.0,1,2,37.0,1
311,1,0,30000.0,1,5,3,1,0.0,0,2,47.0,0
312,1,0,30000.0,1,3,3,1,1.0,0,2,44.0,1
313,1,0,30000.0,1,5,3,1,0.0,0,2,65.0,1
314,0,0,30000.0,1,5,3,0,1.0,0,2,39.0,1
315,0,0,30000.0,1,5,3,0,0.0,0,2,38.0,1
316,0,0,30000.0,1,5,3,1,0.0,0,2,62.0,1
317,1,1,30000.0,1,5,2,1,2.0,0,2,40.0,0
318,1,0,30000.0,1,5,2,1,2.0,0,2,40.0,0
319,0,0,30000.0,1,5,3,0,1.0,1,2,39.0,0
320,1,1,30000.0,1,5,3,1,0.0,0,2,64.0,0
321,1,0,30000.0,1,5,3,1,0.0,0,2,38.0,1
322,0,0,30000.0,1,5,3,1,1.0,1,2,39.0,1
323,1,0,30000.0,1,5,2,1,2.0,0,2,41.0,1
324,1,1,30000.0,1,5,3,1,0.0,0,2,65.0,0
325,0,0,30000.0,1,2,3,1,2.0,1,1,51.0,1
326,0,0,30000.0,1,2,3,0,1.0,3,1,52.0,0
327,1,0,30000.0,1,2,3,1,1.0,2,1,52.0,1
329,1,1,30000.0,1,2,3,1,1.0,3,1,52.0,0
330,1,1,40000.0,1,5,2,1,0.0,0,2,42.0,0
331,1,0,40000.0,1,5,2,1,0.0,0,2,43.0,1
332,1,1,40000.0,1,5,2,1,0.0,0,2,43.0,1
333,1,0,40000.0,1,5,2,1,1.0,0,2,44.0,1
334,1,0,40000.0,1,5,2,1,0.0,0,2,42.0,1
335,1,1,40000.0,1,5,2,1,1.0,1,2,33.0,1
336,1,1,40000.0,1,5,2,1,0.0,0,2,42.0,1
337,1,0,40000.0,1,5,2,0,0.0,0,2,43.0,1
338,1,0,40000.0,1,5,2,1,1.0,0,2,33.0,1
339,1,0,40000.0,1,5,2,1,1.0,0,2,43.0,1
340,1,1,40000.0,1,5,2,1,1.0,0,2,89.0,0
341,1,1,40000.0,1,5,3,1,0.0,0,2,80.0,0
342,1,1,40000.0,1,5,2,1,0.0,0,2,41.0,0
343,1,1,40000.0,1,5,2,1,1.0,0,2,43.0,1
344,1,1,40000.0,1,5,2,1,1.0,1,2,32.0,1
345,1,1,40000.0,1,5,2,1,0.0,1,2,32.0,1
346,1,1,40000.0,1,5,2,1,0.0,0,2,42.0,0
347,1,1,40000.0,1,5,2,1,0.0,0,2,41.0,0
348,1,0,40000.0,1,5,2,1,1.0,0,2,32.0,1
349,1,1,40000.0,1,3,3,1,1.0,1,1,51.0,1
350,1,1,40000.0,1,3,3,1,1.0,1,1,49.0,1
351,1,0,40000.0,1,3,3,1,1.0,1,1,48.0,1
352,1,1,40000.0,1,3,3,1,1.0,1,1,51.0,1
353,1,1,40000.0,1,3,3,1,1.0,1,1,48.0,1
354,1,0,40000.0,1,5,2,0,1.0,0,1,36.0,1
355,1,1,40000.0,1,3,3,1,1.0,1,1,49.0,1
356,1,0,50000.0,1,5,2,1,0.0,0,1,36.0,0
357,1,0,50000.0,1,4,2,1,0.0,1,1,34.0,0
358,1,1,50000.0,1,4,2,1,0.0,0,1,35.0,0
359,1,0,50000.0,1,5,2,1,0.0,0,1,34.0,1
360,1,0,50000.0,1,4,2,1,0.0,0,1,33.0,1
361,1,1,50000.0,1,5,2,1,1.0,0,1,35.0,0
362,0,1,50000.0,1,4,2,1,0.0,1,1,33.0,1
363,1,1,50000.0,1,5,2,1,0.0,0,1,34.0,1
364,1,1,50000.0,1,5,2,1,0.0,2,1,34.0,1
365,0,0,60000.0,1,3,2,0,1.0,0,3,45.0,1
366,1,1,60000.0,1,3,2,1,1.0,3,3,46.0,1
367,0,0,60000.0,1,3,2,1,1.0,3,3,45.0,0
368,1,0,60000.0,1,3,2,1,1.0,3,3,43.0,1
369,0,1,60000.0,1,5,4,1,1.0,3,3,44.0,1
370,0,1,60000.0,1,3,2,1,1.0,3,3,46.0,1
371,1,0,60000.0,1,5,4,1,1.0,3,3,43.0,1
372,1,1,60000.0,1,3,2,1,1.0,3,3,45.0,0
373,0,1,60000.0,1,3,2,0,1.0,0,3,46.0,1
374,1,0,60000.0,1,3,2,1,1.0,3,3,46.0,0
375,0,1,60000.0,1,3,2,0,1.0,0,3,45.0,1
376,1,0,60000.0,1,3,2,1,1.0,0,3,45.0,1
377,1,1,60000.0,1,3,2,1,1.0,0,1,45.0,1
378,0,1,60000.0,1,5,4,0,1.0,0,1,44.0,1
379,1,1,60000.0,1,4,4,0,0.0,0,1,35.0,1
380,1,0,60000.0,1,4,4,1,0.0,0,1,35.0,1
381,1,0,60000.0,1,3,2,1,1.0,2,1,44.0,0
382,1,1,60000.0,1,4,4,1,0.0,2,1,36.0,1
383,1,1,60000.0,1,3,2,1,1.0,2,1,46.0,1
384,0,1,60000.0,1,4,4,1,0.0,2,1,36.0,1
385,1,1,60000.0,1,4,4,1,0.0,2,1,37.0,1
386,1,0,60000.0,1,4,4,1,0.0,2,1,36.0,0
387,1,0,60000.0,1,4,2,0,0.0,0,1,35.0,0
388,1,1,60000.0,1,4,2,1,0.0,0,1,34.0,0
389,1,0,60000.0,1,4,2,1,0.0,0,1,33.0,0
390,1,1,60000.0,1,3,2,1,1.0,2,1,45.0,1
391,0,0,60000.0,1,4,4,1,0.0,2,1,35.0,1
392,1,1,60000.0,1,5,4,1,1.0,0,1,47.0,1
393,1,0,60000.0,1,3,2,1,1.0,0,1,46.0,0
394,1,1,60000.0,1,5,4,1,1.0,2,1,48.0,1
395,1,0,60000.0,1,4,4,1,0.0,0,1,35.0,0
396,1,0,60000.0,1,4,4,1,0.0,2,1,34.0,1
397,1,1,60000.0,1,3,2,1,1.0,0,1,45.0,1
398,0,1,60000.0,1,4,2,1,0.0,1,1,35.0,0
399,1,1,60000.0,1,4,2,1,0.0,2,1,34.0,1
400,1,0,60000.0,1,5,4,1,1.0,0,1,48.0,1
401,1,0,60000.0,1,3,2,1,1.0,2,1,45.0,1
402,1,0,60000.0,1,3,2,0,1.0,0,1,47.0,0
403,0,1,60000.0,1,4,4,1,0.0,2,1,36.0,1
404,0,1,70000.0,1,4,4,1,0.0,2,1,34.0,1
405,1,0,70000.0,1,3,2,1,1.0,2,1,44.0,1
406,1,0,70000.0,1,3,2,1,1.0,0,1,44.0,0
407,1,0,70000.0,1,5,4,1,1.0,2,1,44.0,1
408,1,1,70000.0,1,3,2,1,1.0,0,1,44.0,1
409,1,0,70000.0,1,4,4,1,1.0,0,1,46.0,1
410,0,1,70000.0,1,5,4,0,1.0,0,1,44.0,0
411,1,1,70000.0,1,4,2,1,0.0,0,1,35.0,1
412,0,1,70000.0,1,4,4,1,0.0,2,1,34.0,0
413,1,0,80000.0,1,3,2,1,1.0,2,1,48.0,1
414,1,0,80000.0,1,3,2,0,1.0,0,1,47.0,1
415,0,0,90000.0,1,5,4,1,1.0,2,3,47.0,1
416,1,1,90000.0,1,5,4,1,1.0,2,3,47.0,1
417,1,1,90000.0,1,4,5,1,0.0,0,3,37.0,1
418,0,1,90000.0,1,4,5,1,0.0,0,3,36.0,1
419,1,1,90000.0,1,5,4,1,1.0,3,3,46.0,0
420,0,0,100000.0,1,5,5,0,3.0,0,3,48.0,0
421,1,0,100000.0,1,5,5,1,3.0,2,3,47.0,0
422,0,1,100000.0,1,5,5,1,4.0,2,3,48.0,0
423,1,0,100000.0,1,4,5,1,0.0,2,3,36.0,1
424,0,0,100000.0,1,5,5,0,3.0,0,3,46.0,1
